{'offset': -487609773.0, 'RTT': 153340816.0, 'smoothed_offset': -487609773.0, 'smoothed_RTT': 153340816.0, 'drop_rate': 0.0, 'current_system_time': (1589143488.0, 834543943.0), 'adjusted_system_time': (1589143488.0, 346934170.0), 'current_drift': -48024564.70599381, 'average_drift': -48024564.70599381, 'average_RTT': 153340816.0}
{'offset': -95949886.5, 'RTT': 151913881.0, 'smoothed_offset': 555243623.5, 'smoothed_RTT': 139897585.0, 'drop_rate': 3.0, 'current_system_time': (1589149053.0, 893222808.0), 'adjusted_system_time': (1589149054.0, 448466431.5), 'current_drift': -9451408.633358954, 'average_drift': 155044.21520808924, 'average_RTT': 132565298.61698113}
{'offset': 295348832.0, 'RTT': 150936365.0, 'smoothed_offset': 555243623.5, 'smoothed_RTT': 139897585.0, 'drop_rate': 3.0, 'current_system_time': (1589149064.0, 99937200.0), 'adjusted_system_time': (1589149064.0, 655180823.5), 'current_drift': 29095722.934324592, 'average_drift': 209546.43501810147, 'average_RTT': 132599895.72881356}
{'offset': -150261936.5, 'RTT': 142583132.0, 'smoothed_offset': 555243623.5, 'smoothed_RTT': 139897585.0, 'drop_rate': 3.0, 'current_system_time': (1589149074.0, 262377738.0), 'adjusted_system_time': (1589149074.0, 817621361.5), 'current_drift': -14814957.348086342, 'average_drift': 181304.88655361944, 'average_RTT': 132618661.21052632}
{'offset': 498400192.5, 'RTT': 144796371.0, 'smoothed_offset': 555243623.5, 'smoothed_RTT': 139897585.0, 'drop_rate': 3.0, 'current_system_time': (1589149084.0, 460943937.0), 'adjusted_system_time': (1589149085.0, 16187560.5), 'current_drift': 49128654.16645828, 'average_drift': 273138.5625009077, 'average_RTT': 132641508.69606003}
{'offset': 98495888.0, 'RTT': 149984836.0, 'smoothed_offset': 555243623.5, 'smoothed_RTT': 139897585.0, 'drop_rate': 3.0, 'current_system_time': (1589149094.0, 646614551.0), 'adjusted_system_time': (1589149095.0, 201858174.5), 'current_drift': 9704042.872128682, 'average_drift': 290799.4319945927, 'average_RTT': 132673986.83707865}
{'offset': -352192207.5, 'RTT': 146867990.0, 'smoothed_offset': -150261936.5, 'smoothed_RTT': 142583132.0, 'drop_rate': 3.0, 'current_system_time': (1589149104.0, 810308456.0), 'adjusted_system_time': (1589149104.0, 660046519.5), 'current_drift': -34709450.03395082, 'average_drift': 225378.4049554424, 'average_RTT': 132700517.68411215}
{'offset': -685900883.0, 'RTT': 139140129.0, 'smoothed_offset': -685900883.0, 'smoothed_RTT': 139140129.0, 'drop_rate': 3.0, 'current_system_time': (1589149115.0, 5342245.0), 'adjusted_system_time': (1589149115.0, -680558638.0), 'current_drift': -67648821.7218918, 'average_drift': 98747.43456953336, 'average_RTT': 132712531.88432837}
{'offset': 655972730.0, 'RTT': 155339480.0, 'smoothed_offset': -685900883.0, 'smoothed_RTT': 139140129.0, 'drop_rate': 3.0, 'current_system_time': (1589149125.0, 214736223.0), 'adjusted_system_time': (1589149125.0, -471164660.0), 'current_drift': 64593875.10303102, 'average_drift': 218850.0931700203, 'average_RTT': 132754667.72811918}
{'offset': 366460473.5, 'RTT': 155346155.0, 'smoothed_offset': -685900883.0, 'smoothed_RTT': 139140129.0, 'drop_rate': 3.0, 'current_system_time': (1589149135.0, 424654483.0), 'adjusted_system_time': (1589149135.0, -261246400.0), 'current_drift': 36085473.3956629, 'average_drift': 285516.67923413345, 'average_RTT': 132796659.3401487}
{'offset': -283177513.5, 'RTT': 19636870.0, 'smoothed_offset': -283177513.5, 'smoothed_RTT': 19636870.0, 'drop_rate': 3.0, 'current_system_time': (1589149145.0, 762883424.0), 'adjusted_system_time': (1589149145.0, 479705910.5), 'current_drift': -28262253.130936075, 'average_drift': 232552.3567662852, 'average_RTT': 132586715.3896104}
{'offset': -844570412.0, 'RTT': 153743982.0, 'smoothed_offset': -283177513.5, 'smoothed_RTT': 19636870.0, 'drop_rate': 3.0, 'current_system_time': (1589149155.0, 971736907.0), 'adjusted_system_time': (1589149155.0, 688559393.5), 'current_drift': -83178226.03142329, 'average_drift': 78087.95234371192, 'average_RTT': 132625895.51296297}
{'offset': 336289531.0, 'RTT': 14522075.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149166.0, 40940523.0), 'adjusted_system_time': (1589149166.0, 377230054.0), 'current_drift': 33580187.699571274, 'average_drift': 140014.19956594403, 'average_RTT': 132407589.00554529}
{'offset': 801522218.5, 'RTT': 155676603.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149176.0, 251960992.0), 'adjusted_system_time': (1589149176.0, 588250523.0), 'current_drift': 78923566.57588223, 'average_drift': 285371.3072713246, 'average_RTT': 132450520.76568265}
timeout: 18
{'offset': 406100479.5, 'RTT': 155424833.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149196.0, 436780452.0), 'adjusted_system_time': (1589149196.0, 773069983.0), 'current_drift': 19994263.468938228, 'average_drift': 321667.6095948364, 'average_RTT': 132492830.732965}
{'offset': -140716695.0, 'RTT': 18539190.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149206.0, 507121562.0), 'adjusted_system_time': (1589149206.0, 843411093.0), 'current_drift': -14045630.03960261, 'average_drift': 295257.13597498817, 'average_RTT': 132283357.12867647}
{'offset': 256941682.0, 'RTT': 148493290.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149216.0, 692235469.0), 'adjusted_system_time': (1589149217.0, 28525000.0), 'current_drift': 25318209.77338401, 'average_drift': 341170.8105390414, 'average_RTT': 132313100.12477064}
{'offset': -55183880.0, 'RTT': 153750897.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149226.0, 899986743.0), 'adjusted_system_time': (1589149227.0, 236276274.0), 'current_drift': -5434827.046653713, 'average_drift': 330592.05988484225, 'average_RTT': 132352363.48901099}
{'offset': 326189566.5, 'RTT': 156442881.0, 'smoothed_offset': 336289531.0, 'smoothed_RTT': 14522075.0, 'drop_rate': 3.0, 'current_system_time': (1589149237.0, 108959674.0), 'adjusted_system_time': (1589149237.0, 445249205.0), 'current_drift': 32116516.611363396, 'average_drift': 388701.6111672527, 'average_RTT': 132396404.65447898}
{'offset': 795407464.5, 'RTT': 14772415.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149247.0, 179609060.0), 'adjusted_system_time': (1589149247.0, 975016524.5), 'current_drift': 79423418.87955923, 'average_drift': 532925.5477884059, 'average_RTT': 132181762.33759125}
{'offset': 232499024.5, 'RTT': 154211044.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149257.0, 386338710.0), 'adjusted_system_time': (1589149258.0, 181746174.5), 'current_drift': 22896808.377582505, 'average_drift': 573661.2177880309, 'average_RTT': 132221888.53369763}
{'offset': -67774342.0, 'RTT': 149249553.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149267.0, 588880777.0), 'adjusted_system_time': (1589149268.0, 384288241.5), 'current_drift': -6677768.799168672, 'average_drift': 560476.7995753824, 'average_RTT': 132252847.92363636}
{'offset': -406215833.0, 'RTT': 149245500.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149277.0, 792296409.0), 'adjusted_system_time': (1589149278.0, 587703873.5), 'current_drift': -40024239.53583545, 'average_drift': 486820.3270973228, 'average_RTT': 132283687.58257714}
{'offset': 63440628.0, 'RTT': 19293546.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149287.0, 866600275.0), 'adjusted_system_time': (1589149288.0, 662007739.5), 'current_drift': 6331846.422977335, 'average_drift': 497409.14248840977, 'average_RTT': 132078995.29710145}
{'offset': 289460457.0, 'RTT': 154602766.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149298.0, 97707509.0), 'adjusted_system_time': (1589149298.0, 893114973.5), 'current_drift': 28505345.17895488, 'average_drift': 548056.404760501, 'average_RTT': 132119725.44303797}
{'offset': -172383977.5, 'RTT': 161442280.0, 'smoothed_offset': 795407464.5, 'smoothed_RTT': 14772415.0, 'drop_rate': 3.0, 'current_system_time': (1589149308.0, 267707824.0), 'adjusted_system_time': (1589149309.0, 63115288.5), 'current_drift': -16964518.69232091, 'average_drift': 516445.25837587763, 'average_RTT': 132172654.24187726}
{'offset': 397657810.5, 'RTT': 156810761.0, 'smoothed_offset': 63440628.0, 'smoothed_RTT': 19293546.0, 'drop_rate': 3.0, 'current_system_time': (1589149318.0, 433078050.0), 'adjusted_system_time': (1589149318.0, 496518678.0), 'current_drift': 39151838.097340725, 'average_drift': 586058.5788064449, 'average_RTT': 132217047.22702703}
{'offset': 93816761.0, 'RTT': 156085968.0, 'smoothed_offset': 63440628.0, 'smoothed_RTT': 19293546.0, 'drop_rate': 3.0, 'current_system_time': (1589149328.0, 641166448.0), 'adjusted_system_time': (1589149328.0, 704607076.0), 'current_drift': 9237491.814819187, 'average_drift': 601618.7105258922, 'average_RTT': 132259976.94064748}
{'offset': -431199295.0, 'RTT': 20669938.0, 'smoothed_offset': 63440628.0, 'smoothed_RTT': 19293546.0, 'drop_rate': 3.0, 'current_system_time': (1589149338.0, 717521905.0), 'adjusted_system_time': (1589149338.0, 780962533.0), 'current_drift': -43030984.72137303, 'average_drift': 523283.6953878331, 'average_RTT': 132059635.75763015}
{'offset': 27967853.5, 'RTT': 163862229.0, 'smoothed_offset': 63440628.0, 'smoothed_RTT': 19293546.0, 'drop_rate': 3.0, 'current_system_time': (1589149348.0, 934150457.0), 'adjusted_system_time': (1589149348.0, 997591085.0), 'current_drift': 2751695.4549227194, 'average_drift': 527277.2648493652, 'average_RTT': 132116629.65232974}
{'offset': 471889754.5, 'RTT': 155814409.0, 'smoothed_offset': -431199295.0, 'smoothed_RTT': 20669938.0, 'drop_rate': 3.0, 'current_system_time': (1589149359.0, 149986028.0), 'adjusted_system_time': (1589149359.0, -281213267.0), 'current_drift': 46464984.0471499, 'average_drift': 609455.6311862177, 'average_RTT': 132159022.8175313}
{'offset': 162324609.0, 'RTT': 152929783.0, 'smoothed_offset': -431199295.0, 'smoothed_RTT': 20669938.0, 'drop_rate': 3.0, 'current_system_time': (1589149369.0, 355729103.0), 'adjusted_system_time': (1589149369.0, -75470192.0), 'current_drift': 15987957.414203266, 'average_drift': 636917.2415130339, 'average_RTT': 132196113.46071428}
{'offset': -372802264.5, 'RTT': 19468069.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149379.0, 429876565.0), 'adjusted_system_time': (1589149379.0, 57074300.5), 'current_drift': -37207790.067562714, 'average_drift': 569457.8701956084, 'average_RTT': 131995172.20499109}
{'offset': 85177646.5, 'RTT': 151913405.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149389.0, 635193824.0), 'adjusted_system_time': (1589149389.0, 262391559.5), 'current_drift': 8390304.674786575, 'average_drift': 583373.967712674, 'average_RTT': 132030613.90035588}
{'offset': -371043552.5, 'RTT': 153744697.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149399.0, 804319381.0), 'adjusted_system_time': (1589149399.0, 431517116.5), 'current_drift': -36542533.180849776, 'average_drift': 517430.97100119543, 'average_RTT': 132069182.43161634}
{'offset': -709921689.5, 'RTT': 156100273.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149410.0, 2168655.0), 'adjusted_system_time': (1589149410.0, -370633609.5), 'current_drift': -69901012.24062619, 'average_drift': 392575.57523589866, 'average_RTT': 132111790.74822696}
{'offset': 667661950.0, 'RTT': 152995348.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149420.0, 211256742.0), 'adjusted_system_time': (1589149420.0, -161545522.5), 'current_drift': 65760096.12094624, 'average_drift': 508270.3018654745, 'average_RTT': 132148752.79646018}
{'offset': 319984900.5, 'RTT': 147016049.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149430.0, 413221120.0), 'adjusted_system_time': (1589149430.0, 40418855.5), 'current_drift': 31534876.751430277, 'average_drift': 563087.6277480979, 'average_RTT': 132175020.10424028}
{'offset': 7906728.5, 'RTT': 153390169.0, 'smoothed_offset': -372802264.5, 'smoothed_RTT': 19468069.0, 'drop_rate': 3.0, 'current_system_time': (1589149440.0, 618273973.0), 'adjusted_system_time': (1589149440.0, 245471708.5), 'current_drift': 778727.9291345038, 'average_drift': 563467.945739961, 'average_RTT': 132212436.5925926}
{'offset': -161487654.5, 'RTT': 162291050.0, 'smoothed_offset': 319984900.5, 'smoothed_RTT': 147016049.0, 'drop_rate': 3.0, 'current_system_time': (1589149451.0, 259420871.0), 'adjusted_system_time': (1589149451.0, 579405771.5), 'current_drift': -15890870.83861862, 'average_drift': 534499.0394294704, 'average_RTT': 132265391.89788732}
{'offset': 487387769.5, 'RTT': 150620460.0, 'smoothed_offset': 319984900.5, 'smoothed_RTT': 147016049.0, 'drop_rate': 3.0, 'current_system_time': (1589149461.0, 462268829.0), 'adjusted_system_time': (1589149461.0, 782253729.5), 'current_drift': 48015564.31162238, 'average_drift': 617945.5513313912, 'average_RTT': 132297650.3655536}
{'offset': 203727850.0, 'RTT': 160398006.0, 'smoothed_offset': 319984900.5, 'smoothed_RTT': 147016049.0, 'drop_rate': 3.0, 'current_system_time': (1589149471.0, 679332494.0), 'adjusted_system_time': (1589149471.0, 999317394.5), 'current_drift': 20051168.259323403, 'average_drift': 652038.9245033071, 'average_RTT': 132346949.23508772}
{'offset': -82181591.5, 'RTT': 157376766.0, 'smoothed_offset': 319984900.5, 'smoothed_RTT': 147016049.0, 'drop_rate': 3.0, 'current_system_time': (1589149481.0, 890246868.0), 'adjusted_system_time': (1589149482.0, 210231768.5), 'current_drift': -8090828.310621317, 'average_drift': 636727.4232158734, 'average_RTT': 132390784.29071803}
{'offset': 308427902.5, 'RTT': 153587341.0, 'smoothed_offset': 319984900.5, 'smoothed_RTT': 147016049.0, 'drop_rate': 3.0, 'current_system_time': (1589149492.0, 99105596.0), 'adjusted_system_time': (1589149492.0, 419090496.5), 'current_drift': 30376249.51080824, 'average_drift': 688719.5946976782, 'average_RTT': 132427841.20804195}
{'offset': -35523845.5, 'RTT': 145869970.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149502.0, 300503015.0), 'adjusted_system_time': (1589149502.0, 264979169.5), 'current_drift': -3501310.9378534644, 'average_drift': 681407.1504872923, 'average_RTT': 132451300.42059337}
{'offset': 521682929.0, 'RTT': 157756567.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149512.0, 469470739.0), 'adjusted_system_time': (1589149512.0, 433946893.5), 'current_drift': 51358085.37633367, 'average_drift': 769694.0463511362, 'average_RTT': 132495386.25087108}
{'offset': 235716131.5, 'RTT': 152945280.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149522.0, 679992437.0), 'adjusted_system_time': (1589149522.0, 644468591.5), 'current_drift': 23216527.322798688, 'average_drift': 808732.017266697, 'average_RTT': 132530951.28347826}
{'offset': -86886828.5, 'RTT': 158029318.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149532.0, 892228126.0), 'adjusted_system_time': (1589149532.0, 856704280.5), 'current_drift': -8553512.278807541, 'average_drift': 792478.120919346, 'average_RTT': 132575219.28125}
{'offset': 191181284.5, 'RTT': 155115366.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149543.0, 67668437.0), 'adjusted_system_time': (1589149543.0, 32144591.5), 'current_drift': 18826106.6083097, 'average_drift': 823732.243081201, 'average_RTT': 132614283.66031195}
{'offset': -79840020.0, 'RTT': 165029526.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149553.0, 288514137.0), 'adjusted_system_time': (1589149553.0, 252990291.5), 'current_drift': -7854381.5141693475, 'average_drift': 808718.205438899, 'average_RTT': 132670365.39446367}
{'offset': -385186687.5, 'RTT': 151421070.0, 'smoothed_offset': -35523845.5, 'smoothed_RTT': 145869970.0, 'drop_rate': 3.0, 'current_system_time': (1589149563.0, 495054483.0), 'adjusted_system_time': (1589149563.0, 459530637.5), 'current_drift': -37944114.90213163, 'average_drift': 741787.5783101071, 'average_RTT': 132702750.03108808}
{'offset': 301299906.5, 'RTT': 156459569.0, 'smoothed_offset': -385186687.5, 'smoothed_RTT': 151421070.0, 'drop_rate': 3.0, 'current_system_time': (1589149573.0, 706960916.0), 'adjusted_system_time': (1589149573.0, 321774228.5), 'current_drift': 29665840.192938987, 'average_drift': 791656.6345422259, 'average_RTT': 132743710.06379311}
{'offset': -128931003.0, 'RTT': 159389019.0, 'smoothed_offset': -385186687.5, 'smoothed_RTT': 151421070.0, 'drop_rate': 3.0, 'current_system_time': (1589149583.0, 886975526.0), 'adjusted_system_time': (1589149583.0, 501788838.5), 'current_drift': -12690822.524747735, 'average_drift': 768450.9905503327, 'average_RTT': 132789571.18072289}
{'offset': 291500268.5, 'RTT': 168503046.0, 'smoothed_offset': -385186687.5, 'smoothed_RTT': 151421070.0, 'drop_rate': 3.0, 'current_system_time': (1589149594.0, 109171867.0), 'adjusted_system_time': (1589149594.0, -276014820.5), 'current_drift': 28666979.51323995, 'average_drift': 816386.6065686997, 'average_RTT': 132850934.53951891}
{'offset': -80204815.5, 'RTT': 14601469.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149604.0, 213276863.0), 'adjusted_system_time': (1589149604.0, 133072047.5), 'current_drift': -8008787.543695314, 'average_drift': 801249.0865853995, 'average_RTT': 132648105.26758148}
{'offset': 367696859.5, 'RTT': 150716304.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149614.0, 417853593.0), 'adjusted_system_time': (1589149614.0, 337648777.5), 'current_drift': 36223735.20133796, 'average_drift': 861904.0285627154, 'average_RTT': 132679043.9640411}
{'offset': -163666821.5, 'RTT': 19679785.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149624.0, 490963697.0), 'adjusted_system_time': (1589149624.0, 410758881.5), 'current_drift': -16334536.134080658, 'average_drift': 832508.4043530687, 'average_RTT': 132485882.83760683}
{'offset': 338451737.0, 'RTT': 171690702.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149634.0, 722510337.0), 'adjusted_system_time': (1589149634.0, 642305521.5), 'current_drift': 33273891.91390299, 'average_drift': 887869.1270656112, 'average_RTT': 132552785.25938566}
{'offset': 89394062.5, 'RTT': 160937786.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149644.0, 944677591.0), 'adjusted_system_time': (1589149644.0, 864472775.5), 'current_drift': 8797816.14480205, 'average_drift': 901344.3349322831, 'average_RTT': 132601141.30834752}
{'offset': 464483813.5, 'RTT': 155048848.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149655.0, 154717206.0), 'adjusted_system_time': (1589149655.0, 74512390.5), 'current_drift': 45739200.318221845, 'average_drift': 977599.1920467211, 'average_RTT': 132639317.6802721}
{'offset': 157978550.5, 'RTT': 154815912.0, 'smoothed_offset': -80204815.5, 'smoothed_RTT': 14601469.0, 'drop_rate': 3.0, 'current_system_time': (1589149665.0, 360050201.0), 'adjusted_system_time': (1589149665.0, 279845385.5), 'current_drift': 15557007.814717341, 'average_drift': 1002352.008044464, 'average_RTT': 132676968.94397284}
{'offset': -203716519.5, 'RTT': 158609629.0, 'smoothed_offset': -163666821.5, 'smoothed_RTT': 19679785.0, 'drop_rate': 3.0, 'current_system_time': (1589149675.0, 549097776.0), 'adjusted_system_time': (1589149675.0, 385430954.5), 'current_drift': -20053582.816928618, 'average_drift': 966663.982917391, 'average_RTT': 132720922.60508475}
{'offset': 308537406.5, 'RTT': 156590700.0, 'smoothed_offset': -163666821.5, 'smoothed_RTT': 19679785.0, 'drop_rate': 3.0, 'current_system_time': (1589149685.0, 713497400.0), 'adjusted_system_time': (1589149685.0, 549830578.5), 'current_drift': 30378048.659576286, 'average_drift': 1016429.4392230745, 'average_RTT': 132761311.39932318}
{'offset': 26805838.0, 'RTT': 165970088.0, 'smoothed_offset': 157978550.5, 'smoothed_RTT': 154815912.0, 'drop_rate': 3.0, 'current_system_time': (1589149695.0, 935611963.0), 'adjusted_system_time': (1589149696.0, 93590513.5), 'current_drift': 2636820.4674969334, 'average_drift': 1019166.586230294, 'average_RTT': 132817407.30574325}
{'offset': 349550278.5, 'RTT': 162120342.0, 'smoothed_offset': 157978550.5, 'smoothed_RTT': 154815912.0, 'drop_rate': 3.0, 'current_system_time': (1589149706.0, 118037462.0), 'adjusted_system_time': (1589149706.0, 276016012.5), 'current_drift': 34397376.40729467, 'average_drift': 1075453.6179690196, 'average_RTT': 132866822.03541315}
{'offset': 85889968.5, 'RTT': 162867546.0, 'smoothed_offset': 157978550.5, 'smoothed_RTT': 154815912.0, 'drop_rate': 3.0, 'current_system_time': (1589149716.0, 337037324.0), 'adjusted_system_time': (1589149716.0, 495015874.5), 'current_drift': 8451351.757881112, 'average_drift': 1087870.9549048985, 'average_RTT': 132917328.3047138}
{'offset': -246219660.0, 'RTT': 148670196.0, 'smoothed_offset': -246219660.0, 'smoothed_RTT': 148670196.0, 'drop_rate': 3.0, 'current_system_time': (1589149726.0, 539241313.0), 'adjusted_system_time': (1589149726.0, 293021653.0), 'current_drift': -24261273.176168945, 'average_drift': 1045267.351323262, 'average_RTT': 132943803.71260504}
{'offset': -578360127.0, 'RTT': 151622057.0, 'smoothed_offset': -246219660.0, 'smoothed_RTT': 148670196.0, 'drop_rate': 3.0, 'current_system_time': (1589149736.0, 744342088.0), 'adjusted_system_time': (1589149736.0, 498122428.0), 'current_drift': -56972188.656412266, 'average_drift': 947922.6264780682, 'average_RTT': 132975143.06375839}
{'offset': 116067866.0, 'RTT': 148756743.0, 'smoothed_offset': -246219660.0, 'smoothed_RTT': 148670196.0, 'drop_rate': 3.0, 'current_system_time': (1589149746.0, 948145866.0), 'adjusted_system_time': (1589149746.0, 701926206.0), 'current_drift': 11436658.591709433, 'average_drift': 965491.6984466298, 'average_RTT': 133001577.90452261}
{'offset': 207820106.5, 'RTT': 154938937.0, 'smoothed_offset': -246219660.0, 'smoothed_RTT': 148670196.0, 'drop_rate': 3.0, 'current_system_time': (1589149757.0, 364766836.0), 'adjusted_system_time': (1589149757.0, 118547176.0), 'current_drift': 20464929.21220802, 'average_drift': 998099.4534863646, 'average_RTT': 133038262.45150502}
{'offset': -242725377.0, 'RTT': 148262501.0, 'smoothed_offset': -242725377.0, 'smoothed_RTT': 148262501.0, 'drop_rate': 3.0, 'current_system_time': (1589149767.0, 535212993.0), 'adjusted_system_time': (1589149767.0, 292487616.0), 'current_drift': -23917924.56847486, 'average_drift': 956503.4200607198, 'average_RTT': 133063678.54257095}
{'offset': -563844971.0, 'RTT': 151365756.0, 'smoothed_offset': -242725377.0, 'smoothed_RTT': 148262501.0, 'drop_rate': 3.0, 'current_system_time': (1589149777.0, 744297742.0), 'adjusted_system_time': (1589149777.0, 501572365.0), 'current_drift': -55543754.85552153, 'average_drift': 862336.3229347493, 'average_RTT': 133094182.005}
{'offset': -76595042.5, 'RTT': 19536972.0, 'smoothed_offset': -76595042.5, 'smoothed_RTT': 19536972.0, 'drop_rate': 3.0, 'current_system_time': (1589149787.0, 819000482.0), 'adjusted_system_time': (1589149787.0, 742405439.5), 'current_drift': -7644569.076799451, 'average_drift': 848181.7382430119, 'average_RTT': 132905234.90016639}
{'offset': 95140005.5, 'RTT': 153409242.0, 'smoothed_offset': -76595042.5, 'smoothed_RTT': 19536972.0, 'drop_rate': 3.0, 'current_system_time': (1589149798.0, 32881498.0), 'adjusted_system_time': (1589149798.0, -43713544.5), 'current_drift': 9370252.220943622, 'average_drift': 862338.0015033119, 'average_RTT': 132939294.71262458}
{'offset': 766504429.5, 'RTT': 147782087.0, 'smoothed_offset': -76595042.5, 'smoothed_RTT': 19536972.0, 'drop_rate': 3.0, 'current_system_time': (1589149808.0, 234940052.0), 'adjusted_system_time': (1589149808.0, 158345009.5), 'current_drift': 75534183.02921033, 'average_drift': 986171.9070218974, 'average_RTT': 132963909.62520729}
{'offset': 461048165.0, 'RTT': 153249502.0, 'smoothed_offset': -76595042.5, 'smoothed_RTT': 19536972.0, 'drop_rate': 3.0, 'current_system_time': (1589149818.0, 445379495.0), 'adjusted_system_time': (1589149818.0, 368784452.5), 'current_drift': 45408926.95576743, 'average_drift': 1059719.5147184958, 'average_RTT': 132997495.04304636}
{'offset': -81796321.5, 'RTT': 14894962.0, 'smoothed_offset': -81796321.5, 'smoothed_RTT': 14894962.0, 'drop_rate': 3.0, 'current_system_time': (1589149828.0, 514385461.0), 'adjusted_system_time': (1589149828.0, 432589139.5), 'current_drift': -8167466.739328145, 'average_drift': 1044467.967191146, 'average_RTT': 132802284.2446281}
{'offset': 353447778.5, 'RTT': 144345761.0, 'smoothed_offset': -81796321.5, 'smoothed_RTT': 14894962.0, 'drop_rate': 3.0, 'current_system_time': (1589149838.0, 713845729.0), 'adjusted_system_time': (1589149838.0, 632049407.5), 'current_drift': 34841850.507386304, 'average_drift': 1100239.2255083, 'average_RTT': 132821332.88613862}
{'offset': -6187633.5, 'RTT': 159169674.0, 'smoothed_offset': -81796321.5, 'smoothed_RTT': 14894962.0, 'drop_rate': 3.0, 'current_system_time': (1589149848.0, 914617538.0), 'adjusted_system_time': (1589149848.0, 832821216.5), 'current_drift': -609068.8214250215, 'average_drift': 1097423.2320207653, 'average_RTT': 132864740.36738056}
{'offset': 410825599.5, 'RTT': 151347161.0, 'smoothed_offset': -81796321.5, 'smoothed_RTT': 14894962.0, 'drop_rate': 3.0, 'current_system_time': (1589149859.0, 121559858.0), 'adjusted_system_time': (1589149859.0, 39763536.5), 'current_drift': 40470057.12486439, 'average_drift': 1162180.8535550477, 'average_RTT': 132895139.08552632}
{'offset': -142446715.0, 'RTT': 14384985.0, 'smoothed_offset': -142446715.0, 'smoothed_RTT': 14384985.0, 'drop_rate': 3.0, 'current_system_time': (1589149869.0, 191449642.0), 'adjusted_system_time': (1589149869.0, 49002927.0), 'current_drift': -14224209.995258138, 'average_drift': 1136915.8439510851, 'average_RTT': 132700541.13136289}
